game_id,game_date,home_team,away_team,y_true_home_win,p_model,p_oof,p_market,odds_decimal,source_prediction_ref,source_odds_ref,paper_only,production_ready
MIA-20240415-0,2024-04-15,MIA,SFN,0,,,,,,,True,False
MIL-20240415-0,2024-04-15,MIL,SDN,0,,,,,,,True,False
NYN-20240415-0,2024-04-15,NYN,PIT,1,,,,,,,True,False
PHI-20240415-0,2024-04-15,PHI,COL,1,,,,,,,True,False
BAL-20240415-0,2024-04-15,BAL,MIN,1,,,,,,,True,False
BOS-20240415-0,2024-04-15,BOS,CLE,0,,,,,,,True,False
CHA-20240415-0,2024-04-15,CHA,KCA,0,,,,,,,True,False
DET-20240415-0,2024-04-15,DET,TEX,0,,,,,,,True,False
HOU-20240415-0,2024-04-15,HOU,ATL,0,,,,,,,True,False
OAK-20240415-0,2024-04-15,OAK,SLN,0,,,,,,,True,False
SEA-20240415-0,2024-04-15,SEA,CIN,1,,,,,,,True,False
TBA-20240415-0,2024-04-15,TBA,ANA,0,,,,,,,True,False
TOR-20240415-0,2024-04-15,TOR,NYA,1,,,,,,,True,False
ARI-20240416-0,2024-04-16,ARI,CHN,1,,,,,,,True,False
LAN-20240416-0,2024-04-16,LAN,WAS,1,,,,,,,True,False
MIA-20240416-0,2024-04-16,MIA,SFN,1,,,,,,,True,False
MIL-20240416-0,2024-04-16,MIL,SDN,0,,,,,,,True,False
NYN-20240416-0,2024-04-16,NYN,PIT,1,,,,,,,True,False
PHI-20240416-0,2024-04-16,PHI,COL,1,,,,,,,True,False
BAL-20240416-0,2024-04-16,BAL,MIN,1,,,,,,,True,False
BOS-20240416-0,2024-04-16,BOS,CLE,0,,,,,,,True,False
DET-20240416-0,2024-04-16,DET,TEX,1,,,,,,,True,False
HOU-20240416-0,2024-04-16,HOU,ATL,0,,,,,,,True,False
OAK-20240416-0,2024-04-16,OAK,SLN,0,,,,,,,True,False
SEA-20240416-0,2024-04-16,SEA,CIN,1,,,,,,,True,False
TBA-20240416-0,2024-04-16,TBA,ANA,1,,,,,,,True,False
TOR-20240416-0,2024-04-16,TOR,NYA,1,,,,,,,True,False
ARI-20240417-0,2024-04-17,ARI,CHN,0,,,,,,,True,False
LAN-20240417-0,2024-04-17,LAN,WAS,0,,,,,,,True,False
MIA-20240417-0,2024-04-17,MIA,SFN,0,,,,,,,True,False
MIL-20240417-0,2024-04-17,MIL,SDN,1,,,,,,,True,False
NYN-20240417-0,2024-04-17,NYN,PIT,1,,,,,,,True,False
