"game_id","game_date","season","away_team","home_team","source_name","source_row_number","away_score","home_score","y_true_home_win"
"CLE-20240410-0","2024-04-10",2024,"CHA","CLE","Retrosheet",179,6,7,1
"KCA-20240410-0","2024-04-10",2024,"HOU","KCA","Retrosheet",180,2,11,1
"MIN-20240410-0","2024-04-10",2024,"LAN","MIN","Retrosheet",181,2,3,1
"NYA-20240410-0","2024-04-10",2024,"MIA","NYA","Retrosheet",182,5,2,0
"TEX-20240410-0","2024-04-10",2024,"OAK","TEX","Retrosheet",183,2,6,1
"TOR-20240410-0","2024-04-10",2024,"SEA","TOR","Retrosheet",184,6,1,0
"ATL-20240411-0","2024-04-11",2024,"NYN","ATL","Retrosheet",185,16,4,0
"PHI-20240411-0","2024-04-11",2024,"PIT","PHI","Retrosheet",186,1,5,1
"BOS-20240411-0","2024-04-11",2024,"BAL","BOS","Retrosheet",187,9,4,0
"KCA-20240411-0","2024-04-11",2024,"HOU","KCA","Retrosheet",188,3,13,1
"TEX-20240411-0","2024-04-11",2024,"OAK","TEX","Retrosheet",189,1,0,0
"ARI-20240412-0","2024-04-12",2024,"SLN","ARI","Retrosheet",190,9,6,0
"LAN-20240412-0","2024-04-12",2024,"SDN","LAN","Retrosheet",191,8,7,0
"MIA-20240412-0","2024-04-12",2024,"ATL","MIA","Retrosheet",192,8,1,0
"NYN-20240412-0","2024-04-12",2024,"KCA","NYN","Retrosheet",193,1,6,1
"PHI-20240412-0","2024-04-12",2024,"PIT","PHI","Retrosheet",194,5,2,0
"BAL-20240412-0","2024-04-12",2024,"MIL","BAL","Retrosheet",195,11,1,0
"BOS-20240412-0","2024-04-12",2024,"ANA","BOS","Retrosheet",196,7,0,0
"CHA-20240412-0","2024-04-12",2024,"CIN","CHA","Retrosheet",197,11,1,0
"DET-20240412-0","2024-04-12",2024,"MIN","DET","Retrosheet",198,2,8,1
"HOU-20240412-0","2024-04-12",2024,"TEX","HOU","Retrosheet",199,12,8,0
"OAK-20240412-0","2024-04-12",2024,"WAS","OAK","Retrosheet",200,1,2,1
"SEA-20240412-0","2024-04-12",2024,"CHN","SEA","Retrosheet",201,2,4,1
"TBA-20240412-0","2024-04-12",2024,"SFN","TBA","Retrosheet",202,1,2,1
"TOR-20240412-0","2024-04-12",2024,"COL","TOR","Retrosheet",203,12,4,0
"ARI-20240413-0","2024-04-13",2024,"SLN","ARI","Retrosheet",204,2,4,1
"LAN-20240413-0","2024-04-13",2024,"SDN","LAN","Retrosheet",205,2,5,1
"MIA-20240413-0","2024-04-13",2024,"ATL","MIA","Retrosheet",206,1,5,1
"NYN-20240413-0","2024-04-13",2024,"KCA","NYN","Retrosheet",207,11,7,0
"PHI-20240413-0","2024-04-13",2024,"PIT","PHI","Retrosheet",208,3,4,1
"BAL-20240413-0","2024-04-13",2024,"MIL","BAL","Retrosheet",209,11,5,0
"BOS-20240413-0","2024-04-13",2024,"ANA","BOS","Retrosheet",210,2,7,1
"CHA-20240413-0","2024-04-13",2024,"CIN","CHA","Retrosheet",211,5,0,0
"CLE-20240413-1","2024-04-13",2024,"NYA","CLE","Retrosheet",212,3,2,0
"CLE-20240413-2","2024-04-13",2024,"NYA","CLE","Retrosheet",213,8,2,0
"DET-20240413-1","2024-04-13",2024,"MIN","DET","Retrosheet",214,11,5,0
"DET-20240413-2","2024-04-13",2024,"MIN","DET","Retrosheet",215,4,1,0
"HOU-20240413-0","2024-04-13",2024,"TEX","HOU","Retrosheet",216,2,9,1
"OAK-20240413-0","2024-04-13",2024,"WAS","OAK","Retrosheet",217,3,1,0
"SEA-20240413-0","2024-04-13",2024,"CHN","SEA","Retrosheet",218,4,1,0
"TBA-20240413-0","2024-04-13",2024,"SFN","TBA","Retrosheet",219,11,2,0
"TOR-20240413-0","2024-04-13",2024,"COL","TOR","Retrosheet",220,3,5,1
"ARI-20240414-0","2024-04-14",2024,"SLN","ARI","Retrosheet",221,0,5,1
