"game_id","game_date","season","away_team","home_team","source_name","source_row_number"
"SDN-20240409-0","2024-04-09",2024,"CHN","SDN","Retrosheet",161
"SFN-20240409-0","2024-04-09",2024,"WAS","SFN","Retrosheet",162
"SLN-20240409-0","2024-04-09",2024,"PHI","SLN","Retrosheet",163
"ANA-20240409-0","2024-04-09",2024,"TBA","ANA","Retrosheet",164
"BOS-20240409-0","2024-04-09",2024,"BAL","BOS","Retrosheet",165
"CLE-20240409-0","2024-04-09",2024,"CHA","CLE","Retrosheet",166
"KCA-20240409-0","2024-04-09",2024,"HOU","KCA","Retrosheet",167
"MIN-20240409-0","2024-04-09",2024,"LAN","MIN","Retrosheet",168
"NYA-20240409-0","2024-04-09",2024,"MIA","NYA","Retrosheet",169
"TEX-20240409-0","2024-04-09",2024,"OAK","TEX","Retrosheet",170
"TOR-20240409-0","2024-04-09",2024,"SEA","TOR","Retrosheet",171
"CIN-20240410-0","2024-04-10",2024,"MIL","CIN","Retrosheet",172
"COL-20240410-0","2024-04-10",2024,"ARI","COL","Retrosheet",173
"SDN-20240410-0","2024-04-10",2024,"CHN","SDN","Retrosheet",174
"SFN-20240410-0","2024-04-10",2024,"WAS","SFN","Retrosheet",175
"SLN-20240410-0","2024-04-10",2024,"PHI","SLN","Retrosheet",176
"ANA-20240410-0","2024-04-10",2024,"TBA","ANA","Retrosheet",177
"BOS-20240410-0","2024-04-10",2024,"BAL","BOS","Retrosheet",178
"CLE-20240410-0","2024-04-10",2024,"CHA","CLE","Retrosheet",179
"KCA-20240410-0","2024-04-10",2024,"HOU","KCA","Retrosheet",180
"MIN-20240410-0","2024-04-10",2024,"LAN","MIN","Retrosheet",181
"NYA-20240410-0","2024-04-10",2024,"MIA","NYA","Retrosheet",182
"TEX-20240410-0","2024-04-10",2024,"OAK","TEX","Retrosheet",183
"TOR-20240410-0","2024-04-10",2024,"SEA","TOR","Retrosheet",184
"ATL-20240411-0","2024-04-11",2024,"NYN","ATL","Retrosheet",185
"PHI-20240411-0","2024-04-11",2024,"PIT","PHI","Retrosheet",186
"BOS-20240411-0","2024-04-11",2024,"BAL","BOS","Retrosheet",187
"KCA-20240411-0","2024-04-11",2024,"HOU","KCA","Retrosheet",188
"TEX-20240411-0","2024-04-11",2024,"OAK","TEX","Retrosheet",189
"ARI-20240412-0","2024-04-12",2024,"SLN","ARI","Retrosheet",190
"LAN-20240412-0","2024-04-12",2024,"SDN","LAN","Retrosheet",191
"MIA-20240412-0","2024-04-12",2024,"ATL","MIA","Retrosheet",192
"NYN-20240412-0","2024-04-12",2024,"KCA","NYN","Retrosheet",193
"PHI-20240412-0","2024-04-12",2024,"PIT","PHI","Retrosheet",194
"BAL-20240412-0","2024-04-12",2024,"MIL","BAL","Retrosheet",195
"BOS-20240412-0","2024-04-12",2024,"ANA","BOS","Retrosheet",196
"CHA-20240412-0","2024-04-12",2024,"CIN","CHA","Retrosheet",197
"DET-20240412-0","2024-04-12",2024,"MIN","DET","Retrosheet",198
"HOU-20240412-0","2024-04-12",2024,"TEX","HOU","Retrosheet",199
"OAK-20240412-0","2024-04-12",2024,"WAS","OAK","Retrosheet",200
"SEA-20240412-0","2024-04-12",2024,"CHN","SEA","Retrosheet",201
"TBA-20240412-0","2024-04-12",2024,"SFN","TBA","Retrosheet",202
"TOR-20240412-0","2024-04-12",2024,"COL","TOR","Retrosheet",203
"ARI-20240413-0","2024-04-13",2024,"SLN","ARI","Retrosheet",204
"LAN-20240413-0","2024-04-13",2024,"SDN","LAN","Retrosheet",205
"MIA-20240413-0","2024-04-13",2024,"ATL","MIA","Retrosheet",206
"NYN-20240413-0","2024-04-13",2024,"KCA","NYN","Retrosheet",207
"PHI-20240413-0","2024-04-13",2024,"PIT","PHI","Retrosheet",208
"BAL-20240413-0","2024-04-13",2024,"MIL","BAL","Retrosheet",209
"BOS-20240413-0","2024-04-13",2024,"ANA","BOS","Retrosheet",210
"CHA-20240413-0","2024-04-13",2024,"CIN","CHA","Retrosheet",211
"CLE-20240413-1","2024-04-13",2024,"NYA","CLE","Retrosheet",212
"CLE-20240413-2","2024-04-13",2024,"NYA","CLE","Retrosheet",213
"DET-20240413-1","2024-04-13",2024,"MIN","DET","Retrosheet",214
"DET-20240413-2","2024-04-13",2024,"MIN","DET","Retrosheet",215
"HOU-20240413-0","2024-04-13",2024,"TEX","HOU","Retrosheet",216
"OAK-20240413-0","2024-04-13",2024,"WAS","OAK","Retrosheet",217
"SEA-20240413-0","2024-04-13",2024,"CHN","SEA","Retrosheet",218
"TBA-20240413-0","2024-04-13",2024,"SFN","TBA","Retrosheet",219
"TOR-20240413-0","2024-04-13",2024,"COL","TOR","Retrosheet",220
"ARI-20240414-0","2024-04-14",2024,"SLN","ARI","Retrosheet",221
"LAN-20240414-0","2024-04-14",2024,"SDN","LAN","Retrosheet",222
"MIA-20240414-0","2024-04-14",2024,"ATL","MIA","Retrosheet",223
"NYN-20240414-0","2024-04-14",2024,"KCA","NYN","Retrosheet",224
"PHI-20240414-0","2024-04-14",2024,"PIT","PHI","Retrosheet",225
"BAL-20240414-0","2024-04-14",2024,"MIL","BAL","Retrosheet",226
"BOS-20240414-0","2024-04-14",2024,"ANA","BOS","Retrosheet",227
"CHA-20240414-0","2024-04-14",2024,"CIN","CHA","Retrosheet",228
"CLE-20240414-0","2024-04-14",2024,"NYA","CLE","Retrosheet",229
