"game_id","game_date","season","away_team","home_team","away_score","home_score","y_true_home_win","source_name","source_row_number"
"PIT-20240408-0","2024-04-08",2024,"DET","PIT",4,7,1,"Retrosheet",147
"SDN-20240408-0","2024-04-08",2024,"CHN","SDN",8,9,1,"Retrosheet",148
"SFN-20240408-0","2024-04-08",2024,"WAS","SFN",8,1,0,"Retrosheet",149
"SLN-20240408-0","2024-04-08",2024,"PHI","SLN",5,3,0,"Retrosheet",150
"ANA-20240408-0","2024-04-08",2024,"TBA","ANA",1,7,1,"Retrosheet",151
"CLE-20240408-0","2024-04-08",2024,"CHA","CLE",0,4,1,"Retrosheet",152
"MIN-20240408-0","2024-04-08",2024,"LAN","MIN",4,2,0,"Retrosheet",153
"NYA-20240408-0","2024-04-08",2024,"MIA","NYA",0,7,1,"Retrosheet",154
"TEX-20240408-0","2024-04-08",2024,"HOU","TEX",10,5,0,"Retrosheet",155
"TOR-20240408-0","2024-04-08",2024,"SEA","TOR",2,5,1,"Retrosheet",156
"ATL-20240409-0","2024-04-09",2024,"NYN","ATL",5,6,1,"Retrosheet",157
"CIN-20240409-0","2024-04-09",2024,"MIL","CIN",9,5,0,"Retrosheet",158
"COL-20240409-0","2024-04-09",2024,"ARI","COL",3,2,0,"Retrosheet",159
"PIT-20240409-0","2024-04-09",2024,"DET","PIT",5,3,0,"Retrosheet",160
"SDN-20240409-0","2024-04-09",2024,"CHN","SDN",5,1,0,"Retrosheet",161
"SFN-20240409-0","2024-04-09",2024,"WAS","SFN",5,3,0,"Retrosheet",162
"SLN-20240409-0","2024-04-09",2024,"PHI","SLN",0,3,1,"Retrosheet",163
"ANA-20240409-0","2024-04-09",2024,"TBA","ANA",6,4,0,"Retrosheet",164
"BOS-20240409-0","2024-04-09",2024,"BAL","BOS",7,1,0,"Retrosheet",165
"CLE-20240409-0","2024-04-09",2024,"CHA","CLE",7,5,0,"Retrosheet",166
"KCA-20240409-0","2024-04-09",2024,"HOU","KCA",3,4,1,"Retrosheet",167
"MIN-20240409-0","2024-04-09",2024,"LAN","MIN",6,3,0,"Retrosheet",168
"NYA-20240409-0","2024-04-09",2024,"MIA","NYA",2,3,1,"Retrosheet",169
"TEX-20240409-0","2024-04-09",2024,"OAK","TEX",4,3,0,"Retrosheet",170
"TOR-20240409-0","2024-04-09",2024,"SEA","TOR",3,5,1,"Retrosheet",171
"CIN-20240410-0","2024-04-10",2024,"MIL","CIN",7,2,0,"Retrosheet",172
"COL-20240410-0","2024-04-10",2024,"ARI","COL",5,3,0,"Retrosheet",173
"SDN-20240410-0","2024-04-10",2024,"CHN","SDN",2,10,1,"Retrosheet",174
"SFN-20240410-0","2024-04-10",2024,"WAS","SFN",1,7,1,"Retrosheet",175
"SLN-20240410-0","2024-04-10",2024,"PHI","SLN",4,3,0,"Retrosheet",176
"ANA-20240410-0","2024-04-10",2024,"TBA","ANA",4,2,0,"Retrosheet",177
"BOS-20240410-0","2024-04-10",2024,"BAL","BOS",7,5,0,"Retrosheet",178
"CLE-20240410-0","2024-04-10",2024,"CHA","CLE",6,7,1,"Retrosheet",179
"KCA-20240410-0","2024-04-10",2024,"HOU","KCA",2,11,1,"Retrosheet",180
"MIN-20240410-0","2024-04-10",2024,"LAN","MIN",2,3,1,"Retrosheet",181
"NYA-20240410-0","2024-04-10",2024,"MIA","NYA",5,2,0,"Retrosheet",182
"TEX-20240410-0","2024-04-10",2024,"OAK","TEX",2,6,1,"Retrosheet",183
